unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
8728638,HV403456,27/7/2012 7:15:00,104XX S VERNON AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,FALSE,FALSE,512,5,9,49,03,1181091,1835821,2012,4/2/2016 6:33:39,41.70473532,-87.61247965,"(41.704735321, -87.612479652)"
2226171,HH496711,8/7/2002 9:50:28,103XX S WENTWORTH AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,34,49,03,1176774,1836565,2002,28/2/2018 3:56:25,41.70687504,-87.62826552,"(41.706875037, -87.628265515)"
6595745,HP662364,2/11/2008 6:30:00,106XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,9,50,03,1182361,1834642,2008,28/2/2018 3:56:25,41.70147073,-87.6078655,"(41.701470725, -87.607865497)"
6925812,HR328983,19/5/2009 8:29:00,106XX S PERRY AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,512,5,34,49,03,1177491,1834189,2009,4/2/2016 6:33:39,41.70033882,-87.62571138,"(41.700338819, -87.625711379)"
11352283,JB312916,18/6/2018 9:20:00,104XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,512,5,34,49,03,1178091,1835934,2018,25/6/2018 3:52:40,41.70511379,-87.62346176,"(41.705113794, -87.623461757)"
12683934,JF223612,28/4/2022 8:59:00,004XX E 107TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,512,5,9,49,03,1181391,1834113,2022,3/1/2023 3:46:28,41.70004145,-87.61143353,"(41.700041446, -87.611433529)"
3716389,HK821033,20/12/2004 3:00:00,005XX E 103RD ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,9,49,03,1181813,1836789,2004,28/2/2018 3:56:25,41.70737502,-87.60980603,"(41.707375024, -87.609806028)"
10851144,JA155346,15/2/2017 10:05:00,0000X W 104TH PL,031B,ROBBERY,ARMED: OTHER FIREARM,STREET,FALSE,FALSE,512,5,34,49,03,1177883,1835680,2017,22/2/2017 3:53:51,41.70442149,-87.62423108,"(41.704421486, -87.624231083)"
6278454,HP363578,29/5/2008 7:10:00,104XX S STATE ST,031B,ROBBERY,ARMED: OTHER FIREARM,ALLEY,FALSE,FALSE,512,5,9,49,03,1178093,1835851,2008,28/2/2018 3:56:25,41.70488599,-87.62345694,"(41.704885986, -87.623456938)"
8974154,HW121487,17/1/2013 4:00:00,104XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,34,49,03,1178091,1835934,2013,10/2/2018 3:50:01,41.70511379,-87.62346176,"(41.705113794, -87.623461757)"
